Abbreviation,Name,Year,Price,Adjusted price
XONE,Xbox One,2013,499.0,499.0
PS4,PlayStation 4,2013,399.0,399.0
OUYA,Ouya,2013,99.0,99.0
WIIU,Wii U,2012,299.0,303.3825825668877
VITA,PlayStation Vita,2012,249.0,252.6497092279433
3DS,Nintendo 3DS,2011,250.0,258.929507543832
IPAD,iPad,2010,499.0,533.057993487244
ZBO,Zeebo,2009,280.0,304.0153363487155
DIDJ,Leapfrog Didj,2008,90.0,97.40699660982303
IPHN,iPhone,2007,599.0,673.0299317157865
WII,Wii,2006,249.0,287.80475627403143
PS3,PlayStation 3,2006,599.0,692.3495944102202
HSCN,HyperScan,2006,70.0,80.90896762723776
X360,Xbox 360,2005,399.0,476.0407835438716
GIZ,Gizmondo,2005,229.0,273.21638955274835
GWAV,Game Wave,2005,99.0,118.11538238306588
VSML,V.Smile,2005,90.0,107.37762034824172
PSP,PlayStation Portable,2005,249.0,297.0780829634688
DS,Nintendo DS,2004,150.0,184.98628082403283
XAVX,XaviXPORT,2004,79.0,97.42610790065729
ZOD,Zodiac,2004,299.0,368.73931977590547
LEAP,Leapster,2003,80.0,101.29115942028984
NGE,N-Gage,2003,299.0,378.5757083333333
GP32,GamePark 32,2001,160.0,210.5444857613556
XBOX,Xbox,2001,299.0,393.4550077665333
IPOD,iPod,2001,399.0,525.0453113673806
GC,GameCube,2001,199.0,261.8647041656861
GBA,Game Boy Advance,2001,100.0,131.59030360084728
WSC,WonderSwan Color,2000,59.0,79.82506122053911
PS2,PlayStation 2,2000,299.0,404.53717466002024
64DD,Nintendo 64DD,1999,300.0,419.5551775887944
NGPC,Neo Geo Pocket Color,1999,70.0,97.89620810405204
DC,Dreamcast,1998,199.0,284.40854966515
GBC,Game Boy Color,1998,70.0,100.04320842492713
GCOM,Game.Com,1997,70.0,101.59088407828479
N64,Nintendo 64,1996,199.0,295.5594559846996
PIPN,Pippin,1995,599.0,915.7748900798423
VBOY,Virtual Boy,1995,179.0,273.6622793393853
BS-X,Satellaview,1995,145.0,221.68173466039588
32X,Sega 32X,1994,159.0,249.9050565019396
PS1,PlayStation,1994,299.0,469.94724461685496
SAT,Saturn,1994,399.0,627.1202361275089
PDIA,Bandai Playdia,1994,295.0,463.66032495642884
NGCD,Neo Geo CD,1994,300.0,471.51897453196153
JAG,Jaguar,1993,250.0,403.13145296187344
CD32,Amiga CD32,1993,250.0,403.13145296187344
LACT,Pioneer LaserActive,1993,970.0,1564.150037492069
3DO,3DO,1993,700.0,1128.7680682932457
VIS,Memorex MD 2500 VIS,1992,699.0,1160.628119023579
SCD,Sega CD,1992,299.0,496.46324404585147
SVIS,Watara Supervision,1992,50.0,83.02060937221597
CDI,CD-i,1991,700.0,1197.6408812729499
CDTV,Commodore CDTV,1991,799.0,1367.0215201958385
SNES,Super Nintendo Entertainment System,1990,199.0,354.8259225715925
GG,Game Gear,1990,150.0,267.4567255564768
NEO,Neo Geo,1990,650.0,1158.9791440780662
